Type,Cell types,Note,Mouse,Human,AltCell types
Tumor,Tumor,MB,Ptprd,PTPRD,Neuronal/Tumor
Tumor,Tumor,MB,Smo,SMO,Neuronal/Tumor
Tumor,Tumor,MB,Sfrp1,SFRP1,Neuronal/Tumor
Tumor,Tumor,Glioma,Ptprf,PTPRF,Neuronal/Tumor
Tumor,Tumor,Glioma,Pdgfra,PDGFRA,Neuronal/Tumor
Tumor,Tumor,Glioma,Olig2,OLIG2,Neuronal/Tumor
Brain Stroma,Dopaminergic.Neurons,,Foxa2,FOXA2,Dopaminergic.Neurons
Brain Stroma,Dopaminergic.Neurons,,Kcnj6,KCNJ6,Dopaminergic.Neurons
Brain Stroma,Dopaminergic.Neurons,,Lmx1b,LMX1B,Dopaminergic.Neurons
Brain Stroma,Dopaminergic.Neurons,,Nr4a2,NR4A2,Dopaminergic.Neurons
Brain Stroma,Dopaminergic.Neurons,,Ppp1r1b,PPP1R1B,Dopaminergic.Neurons
Brain Stroma,Serotonergic.Neurons,,Fev,FEV,Serotonergic.Neurons
Brain Stroma,Serotonergic.Neurons,,Htr1a,HTR1A,Serotonergic.Neurons
Brain Stroma,Serotonergic.Neurons,,Htr1b,HTR1B,Serotonergic.Neurons
Brain Stroma,Serotonergic.Neurons,,Slc6a4,SLC6A4,Serotonergic.Neurons
Brain Stroma,Serotonergic.Neurons,,Tph1,TPH1,Serotonergic.Neurons
Brain Stroma,Glutamatergic.Neurons,,Gls,GLS,Glutamatergic.Neurons
Brain Stroma,Glutamatergic.Neurons,,Grin1,GRIN1,Glutamatergic.Neurons
Brain Stroma,Glutamatergic.Neurons,,Grin2a,GRIN2A,Glutamatergic.Neurons
Brain Stroma,Glutamatergic.Neurons,,Grin2b,GRIN2B,Glutamatergic.Neurons
Brain Stroma,Glutamatergic.Neurons,,Slc17a6,SLC17A6,Glutamatergic.Neurons
Brain Stroma,Ex.Neurons,,Nrgn,NRGN,Ex.Neurons
Brain Stroma,Ex.Neurons,,Slc17a7,SLC17A7,Ex.Neurons
Brain Stroma,Ex.Neurons,,Ryr3,RYR3,Ex.Neurons
Brain Stroma,Ex.Neurons,,Tbr1,TBR1,Ex.Neurons
Brain Stroma,Ex.Neurons,,Cux2,CUX2,Ex.Neurons
Brain Stroma,Inh.Neurons,,Gad1,GAD1,Inh.Neurons
Brain Stroma,Inh.Neurons,,Sst,SST,Inh.Neurons
Brain Stroma,Inh.Neurons,,Slc32a1,SLC32A1,Inh.Neurons
Brain Stroma,Inh.Neurons,,Grik1,GRIK1,Inh.Neurons
Brain Stroma,Inh.Neurons,,Vip,VIP,Inh.Neurons
Brain Stroma,NEP,,Cdh1,CDH1,Neuroepithelial cells
Brain Stroma,NEP,,Hes1,HES1,Neuroepithelial cells
Brain Stroma,NEP,,Hes3,HES3,Neuroepithelial cells
Brain Stroma,NEP,,Notch1,NOTCH1,Neuroepithelial cells
Brain Stroma,NEP,,Ocln,OCLN,Neuroepithelial cells
Brain Stroma,Choroid plexus,,Clic6,CLIC6,Choroid plexus
Brain Stroma,Choroid plexus,,Folr1,FOLR1,Choroid plexus
Brain Stroma,Choroid plexus,,Otx2,OTX2,Choroid plexus
Brain Stroma,Choroid plexus,,Otx2-as1,OTX2-AS1,Choroid plexus
Brain Stroma,Choroid plexus,,Slc13a4,SLC13A4,Choroid plexus
Brain Stroma,Choroid plexus,,Tmem72,TMEM72,Choroid plexus
Brain Stroma,Neuroblasts,,Dcx,DCX,Neuroblasts
